GREECE,61000,9/17/2015
GREECE,462000,9/17/2015
GREECE,137217,9/17/2015
HAMLIN,120000,9/17/2015
HAMLIN,65000,9/17/2015
HENRIETTA,143500,9/17/2015
HENRIETTA,309900,9/17/2015
IRONDEQUOIT,120000,9/17/2015
OGDEN,215000,9/17/2015
OGDEN,162500,9/17/2015
PARMA,223500,9/17/2015
PARMA,124500,9/17/2015
PARMA,95282,9/17/2015
PENFIELD,239000,9/17/2015
PENFIELD,200000,9/17/2015
PENFIELD,164900,9/17/2015
PERINTON,54000,9/17/2015
PITTSFORD,539000,9/17/2015
PITTSFORD,186334,9/17/2015
RIGA,213665,9/17/2015
RIGA,144000,9/17/2015
RIGA,127500,9/17/2015
ROCHESTER,53500,9/17/2015
ROCHESTER,112342,9/17/2015
ROCHESTER,93000,9/17/2015
ROCHESTER,91400,9/17/2015
ROCHESTER,111596,9/17/2015
ROCHESTER,13090,9/17/2015
ROCHESTER,35000,9/17/2015
ROCHESTER,159900,9/17/2015
ROCHESTER,10000,9/17/2015
ROCHESTER,145000,9/17/2015
ROCHESTER,20134,9/17/2015
ROCHESTER,139000,9/17/2015
ROCHESTER,126000,9/17/2015
ROCHESTER,230000,9/17/2015
ROCHESTER,85000,9/17/2015
ROCHESTER,60000,9/17/2015
ROCHESTER,114900,9/17/2015
ROCHESTER,50000,9/17/2015
ROCHESTER,260900,9/17/2015
SWEDEN,55000,9/17/2015
WEBSTER,188900,9/17/2015
WEBSTER,215000,9/17/2015
WEBSTER,130000,9/17/2015
WEBSTER,290000,9/17/2015
BRIGHTON,89900,9/16/2015
BRIGHTON,270000,9/16/2015
CHILI,111500,9/16/2015
CHILI,169900,9/16/2015
CHILI,210000,9/16/2015
EROCHESTER,50000,9/16/2015
GATES,110000,9/16/2015
GREECE,164000,9/16/2015
GREECE,60200,9/16/2015
GREECE,112900,9/16/2015
HENRIETTA,125000,9/16/2015
HENRIETTA,320000,9/16/2015
IRONDEQUOIT,197000,9/16/2015
IRONDEQUOIT,75000,9/16/2015
IRONDEQUOIT,154386,9/16/2015
OGDEN,231065,9/16/2015
OGDEN,156000,9/16/2015
PENFIELD,50000,9/16/2015
PERINTON,166950,9/16/2015
PERINTON,57300,9/16/2015
PERINTON,650000,9/16/2015
PERINTON,239000,9/16/2015
PITTSFORD,189921,9/16/2015
PITTSFORD,300000,9/16/2015
PITTSFORD,160500,9/16/2015
RIGA,115000,9/16/2015
ROCHESTER,25901,9/16/2015
ROCHESTER,25500,9/16/2015
ROCHESTER,40000,9/16/2015
ROCHESTER,92000,9/16/2015
ROCHESTER,57000,9/16/2015
ROCHESTER,76513,9/16/2015
ROCHESTER,50000,9/16/2015
WEBSTER,349000,9/16/2015
WEBSTER,90000,9/16/2015
WEBSTER,90000,9/16/2015
WEBSTER,226900,9/16/2015
BRIGHTON,175000,9/15/2015
CHILI,110000,9/15/2015
CHILI,110500,9/15/2015
CLARKSON,116000,9/15/2015
GATES,97000,9/15/2015
GATES,79021,9/15/2015
GREECE,101500,9/15/2015
GREECE,128000,9/15/2015
GREECE,128000,9/15/2015
GREECE,110000,9/15/2015
GREECE,85000,9/15/2015
GREECE,148000,9/15/2015
HENRIETTA,182000,9/15/2015
HENRIETTA,219000,9/15/2015
HENRIETTA,130000,9/15/2015
IRONDEQUOIT,60000,9/15/2015
IRONDEQUOIT,88000,9/15/2015
IRONDEQUOIT,123000,9/15/2015
IRONDEQUOIT,100000,9/15/2015
MENDON,20000,9/15/2015
MENDON,82500,9/15/2015
PARMA,215000,9/15/2015
PARMA,106000,9/15/2015
PENFIELD,213000,9/15/2015
PERINTON,200000,9/15/2015
PERINTON,178500,9/15/2015
PERINTON,180000,9/15/2015
PITTSFORD,256210,9/15/2015
PITTSFORD,503725,9/15/2015
PITTSFORD,150000,9/15/2015
PITTSFORD,185000,9/15/2015
ROCHESTER,25000,9/15/2015
ROCHESTER,500,9/15/2015
ROCHESTER,20000,9/15/2015
ROCHESTER,28000,9/15/2015
ROCHESTER,60000,9/15/2015
ROCHESTER,69900,9/15/2015
ROCHESTER,64900,9/15/2015
ROCHESTER,141000,9/15/2015
ROCHESTER,103000,9/15/2015
SWEDEN,59900,9/15/2015
WEBSTER,160600,9/15/2015
WEBSTER,329900,9/15/2015
WEBSTER,275000,9/15/2015
WEBSTER,185000,9/15/2015
WEBSTER,134900,9/15/2015
CHILI,258000,9/14/2015
CLARKSON,39300,9/14/2015
EROCHESTER,81500,9/14/2015
GATES,71700,9/14/2015
GATES,37000,9/14/2015
GREECE,107000,9/14/2015
GREECE,56100,9/14/2015
GREECE,103000,9/14/2015
GREECE,72000,9/14/2015
GREECE,92700,9/14/2015
HAMLIN,120000,9/14/2015
HAMLIN,52000,9/14/2015
HENRIETTA,71000,9/14/2015
HENRIETTA,173000,9/14/2015
HENRIETTA,160000,9/14/2015
IRONDEQUOIT,117000,9/14/2015
IRONDEQUOIT,136000,9/14/2015
IRONDEQUOIT,110000,9/14/2015
IRONDEQUOIT,98000,9/14/2015
IRONDEQUOIT,101500,9/14/2015
IRONDEQUOIT,39000,9/14/2015
IRONDEQUOIT,100000,9/14/2015
OGDEN,84900,9/14/2015
OGDEN,292755,9/14/2015
PARMA,235000,9/14/2015
PENFIELD,195000,9/14/2015
PENFIELD,237650,9/14/2015
PENFIELD,118500,9/14/2015
PENFIELD,329960,9/14/2015
PERINTON,148000,9/14/2015
PERINTON,150000,9/14/2015
PERINTON,149900,9/14/2015
PERINTON,410000,9/14/2015
PERINTON,223000,9/14/2015
PITTSFORD,387500,9/14/2015
PITTSFORD,539000,9/14/2015
ROCHESTER,119000,9/14/2015
ROCHESTER,79000,9/14/2015
ROCHESTER,100000,9/14/2015
ROCHESTER,210000,9/14/2015
ROCHESTER,149900,9/14/2015
ROCHESTER,70000,9/14/2015
ROCHESTER,95000,9/14/2015
ROCHESTER,64000,9/14/2015
ROCHESTER,1751,9/14/2015
ROCHESTER,89000,9/14/2015
WEBSTER,41000,9/14/2015
WEBSTER,141000,9/14/2015
WHEATLAND,58550,9/14/2015
BRIGHTON,306500,9/11/2015
BRIGHTON,157000,9/11/2015
BRIGHTON,130000,9/11/2015
CHILI,125000,9/11/2015
CHILI,60000,9/11/2015
CHILI,112000,9/11/2015
CHILI,206000,9/11/2015
EROCHESTER,80000,9/11/2015
GATES,137500,9/11/2015
GATES,82000,9/11/2015
GATES,98000,9/11/2015
GREECE,137000,9/11/2015
GREECE,90000,9/11/2015
GREECE,83000,9/11/2015
GREECE,119000,9/11/2015
GREECE,89000,9/11/2015
GREECE,88500,9/11/2015
GREECE,120000,9/11/2015
GREECE,135000,9/11/2015
HAMLIN,52000,9/11/2015
HENRIETTA,96000,9/11/2015
HENRIETTA,180000,9/11/2015
HENRIETTA,147000,9/11/2015
